"Population estimates, July 1, by census division, 2016 boundaries 1 2 3 4 5 6"
"Frequency: Annual"
"Table: 17-10-0139-01"
"Release date: 2023-01-11"
"Geography: Canada, Province or territory, Census division"
""
""

"Sex","Both sexes",,,,,,,,,,,,,,,,,,,,,
"Age group 7","All ages",,,,,,,,,,,,,,,,,,,,,
"Geography","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
,"Persons",,,,,,,,,,,,,,,,,,,,,
"Canada","31,020,902","31,360,079","31,644,028","31,940,655","32,243,753","32,571,174","32,889,025","33,247,118","33,628,895","34,004,889","34,339,328","34,714,222","35,082,954","35,437,435","35,702,908","36,109,487","36,545,236","37,065,084","37,601,230","38,007,166","38,226,498","38,929,902"
"Newfoundland and Labrador","522,046","519,481","518,459","517,423","514,332","510,592","509,055","511,581","516,751","522,009","524,999","526,345","527,114","528,159","528,117","529,426","528,249","525,560","523,427","521,359","520,452","525,972"
"Division No. 1, Newfoundland and Labrador","247,430","248,086","249,080","250,844","250,712","251,650","253,064","256,159","260,597","265,465","268,773","270,476","271,944","273,771","274,689","276,388","276,974","276,607","276,649","276,666","276,618","281,422"
"Division No. 2, Newfoundland and Labrador","24,755","24,240","23,864","23,441","23,068","22,416","21,917","21,777","21,972","21,915","21,641","21,470","21,217","21,037","20,807","20,657","20,332","19,976","19,695","19,361","19,246","19,166"
"Division No. 3, Newfoundland and Labrador","19,663","19,226","18,970","18,602","18,219","17,778","17,312","17,011","16,834","16,696","16,529","16,404","16,254","16,124","15,930","15,734","15,461","15,235","14,990","14,728","14,570","14,453"
"Division No. 4, Newfoundland and Labrador","22,539","22,437","22,229","22,024","21,708","21,279","21,048","20,962","21,064","21,197","21,154","21,086","21,022","20,907","20,769","20,714","20,571","20,233","20,025","19,883","19,890","20,025"
"Division No. 5, Newfoundland and Labrador","41,174","40,968","41,010","41,125","41,320","41,171","41,104","41,020","41,254","41,467","41,760","41,901","42,238","42,357","42,473","42,770","42,627","42,408","42,243","41,919","41,874","42,243"
"Division No. 6, Newfoundland and Labrador","36,858","36,901","37,053","36,949","36,689","36,551","36,530","36,986","37,227","37,619","37,965","38,373","38,411","38,577","38,705","38,884","38,797","38,615","38,279","38,148","38,117","38,458"
"Division No. 7, Newfoundland and Labrador","37,950","37,560","37,323","36,941","36,349","35,699","35,233","35,113","35,246","35,244","35,180","34,971","34,794","34,602","34,508","34,465","34,222","33,921","33,561","33,211","32,998","32,930"
"Division No. 8, Newfoundland and Labrador","42,860","42,116","41,673","40,922","40,100","39,136","38,357","38,106","38,118","37,993","37,554","37,192","36,900","36,646","36,396","36,211","35,826","35,417","35,170","34,833","34,636","34,662"
"Division No. 9, Newfoundland and Labrador","20,420","19,947","19,532","19,086","18,716","18,168","17,765","17,518","17,355","17,268","16,983","16,709","16,452","16,121","15,934","15,789","15,613","15,453","15,162","14,916","14,789","14,714"
"Division No. 10, Newfoundland and Labrador","25,709","25,373","25,140","24,939","24,916","24,288","24,221","24,373","24,467","24,496","24,764","25,082","25,193","25,348","25,253","25,197","25,160","25,019","24,987","25,011","25,057","25,261"
"Division No. 11, Newfoundland and Labrador","2,688","2,627","2,585","2,550","2,535","2,456","2,504","2,556","2,617","2,649","2,696","2,681","2,689","2,669","2,653","2,617","2,666","2,676","2,666","2,683","2,657","2,638"
"Prince Edward Island","136,665","136,880","137,227","137,680","138,064","137,867","137,711","138,749","139,891","141,654","143,963","144,530","144,094","144,283","144,546","146,969","150,402","153,396","157,419","161,305","164,758","170,688"
"Kings, Prince Edward Island","19,363","19,238","19,176","19,114","19,125","18,841","18,581","18,612","18,552","18,485","18,390","17,972","17,850","17,802","17,585","17,716","17,863","17,906","18,273","18,733","19,009","19,656"
"Queens, Prince Edward Island","72,362","72,574","72,860","73,221","73,574","73,875","73,968","74,860","76,220","77,859","80,223","81,233","81,163","81,683","82,382","84,545","87,421","89,868","92,695","95,437","97,642","101,709"
"Prince, Prince Edward Island","44,940","45,068","45,191","45,345","45,365","45,151","45,162","45,277","45,119","45,310","45,350","45,325","45,081","44,798","44,579","44,708","45,118","45,622","46,451","47,135","48,107","49,323"
"Nova Scotia","932,494","935,179","937,717","939,664","937,926","937,882","935,115","935,897","938,208","942,107","944,274","943,635","940,434","938,545","936,525","942,790","950,108","958,406","970,243","981,691","991,117","1,019,725"
"Shelburne, Nova Scotia","16,656","16,587","16,456","16,316","16,140","15,900","15,501","15,276","15,044","14,935","14,779","14,581","14,384","14,305","14,145","14,207","14,150","14,032","13,939","13,790","13,830","14,032"
"Yarmouth, Nova Scotia","27,553","27,493","27,483","27,420","27,113","26,924","26,751","26,455","26,256","26,005","25,768","25,558","25,188","24,871","24,744","24,836","24,867","24,887","24,843","24,802","24,912","25,325"
"Digby, Nova Scotia","20,071","19,933","19,948","19,802","19,688","19,386","19,053","18,800","18,595","18,465","18,348","18,030","17,802","17,703","17,620","17,589","17,595","17,437","17,452","17,414","17,527","17,892"
"Queens, Nova Scotia","12,032","11,935","11,818","11,762","11,654","11,456","11,357","11,303","11,219","11,237","11,145","11,080","10,854","10,661","10,556","10,485","10,370","10,339","10,346","10,403","10,431","10,589"
"Annapolis, Nova Scotia","22,332","22,198","22,116","22,021","22,019","21,859","21,667","21,487","21,296","21,239","21,104","21,023","20,882","20,873","20,819","20,913","21,185","21,352","21,478","21,707","22,079","22,694"
"Lunenburg, Nova Scotia","48,866","48,726","48,670","48,585","48,478","48,204","48,046","48,058","48,041","48,093","48,237","48,152","47,920","47,700","47,696","47,885","48,045","48,103","48,166","48,504","48,946","49,770"
"Kings, Nova Scotia","60,418","60,471","60,716","60,891","61,028","61,610","61,430","61,448","61,621","61,792","61,965","61,802","61,582","61,481","61,463","61,705","62,044","62,463","62,667","62,797","63,213","64,479"
"Hants, Nova Scotia","41,673","41,706","41,835","42,031","42,058","42,340","42,439","42,513","42,701","43,088","43,284","43,422","43,327","43,286","43,257","43,330","43,408","43,540","43,597","43,802","44,004","44,535"
"Halifax, Nova Scotia","369,250","374,434","378,076","380,727","381,899","384,668","386,421","389,921","393,680","398,376","402,088","404,381","405,609","407,059","408,017","414,008","421,705","429,888","439,817","450,893","459,837","480,523"
"Colchester, Nova Scotia","50,678","50,944","51,247","51,408","51,393","51,280","51,347","51,562","51,909","51,924","52,117","52,013","51,793","51,482","51,150","51,492","51,414","51,530","51,743","52,010","52,276","53,178"
"Cumberland, Nova Scotia","33,442","33,285","33,101","32,978","32,862","32,762","32,551","32,430","32,310","32,089","31,942","31,545","31,134","30,898","30,625","30,440","30,399","30,300","30,201","30,180","30,410","30,803"
"Pictou, Nova Scotia","48,234","48,029","48,081","48,078","47,987","47,617","47,060","46,725","46,700","46,695","46,586","46,252","45,790","45,286","44,739","44,437","44,270","44,123","44,123","44,166","44,486","45,087"
"Guysborough, Nova Scotia","10,060","9,833","9,688","9,518","9,354","9,219","8,949","8,742","8,589","8,367","8,276","8,206","8,023","7,860","7,729","7,709","7,607","7,484","7,438","7,363","7,388","7,463"
"Antigonish, Nova Scotia","20,082","19,904","19,690","19,578","19,501","19,332","19,413","19,536","19,705","19,954","20,039","19,925","19,702","19,570","19,559","19,630","19,679","19,743","19,925","20,169","20,275","20,629"
"Inverness, Nova Scotia","20,445","20,309","20,128","20,029","19,764","19,427","18,909","18,619","18,421","18,438","18,266","18,002","17,747","17,576","17,455","17,480","17,470","17,362","17,347","17,338","17,414","17,616"
"Richmond, Nova Scotia","10,489","10,316","10,196","10,123","10,050","9,940","9,769","9,685","9,646","9,606","9,437","9,379","9,269","9,147","9,058","9,094","9,100","9,127","9,083","9,075","9,078","9,155"
"Cape Breton, Nova Scotia","112,046","110,949","110,377","110,407","109,039","108,208","106,818","105,813","105,056","104,463","103,645","103,125","102,263","101,598","100,697","100,367","99,647","99,564","100,999","100,255","97,918","98,808"
"Victoria, Nova Scotia","8,167","8,127","8,091","7,990","7,899","7,750","7,634","7,524","7,419","7,341","7,248","7,159","7,165","7,189","7,196","7,183","7,153","7,132","7,079","7,023","7,093","7,147"
"New Brunswick","749,820","749,372","749,441","749,419","748,057","745,621","745,433","746,877","749,956","753,035","755,705","758,378","758,544","758,976","758,842","763,350","766,621","770,301","777,128","782,996","790,398","812,061"
"Saint John, New Brunswick","78,558","77,945","77,575","77,166","76,380","76,103","76,087","76,213","76,789","77,068","77,088","76,785","76,210","75,457","75,202","75,705","76,218","76,888","77,523","77,972","78,438","80,399"
