time,imigration,emigration,netMigration,totalMigration,Births,Deaths,natGrowth,totalNatGrowth,totGrowth(migrationplusnatural),baseline,Canada,growthDif,percentofincreaseNATURAL,percentofincreaseMIGRATION,percentofincreaseNATURAL-comp,percentofincreaseMIGRATION-comp,Ontario
1931-06-01,23340,,23340,23340,241429,107895,133534,133534,156874,8788000,10376700,#REF!,0.851218175,0.148781825,0.148781825,0.851218175,3431700
1932-06-01,17906,,17906,41246,238788,104890,133898,267432,151804,8788000,10510000,133300,0.882045269,0.117954731,0.117954731,0.882045269,3473000
1933-06-01,13513,,13513,54759,232674,103629,129045,396477,142558,8788000,10633000,123000,0.905210511,0.094789489,0.094789489,0.905210511,3512000
1934-06-01,11609,,11609,66368,219536,100928,118608,515085,130217,8788000,10741000,108000,0.910848814,0.089151186,0.089151186,0.910848814,3544000
1935-06-01,11474,,11474,77842,222072,105136,116936,632021,128410,8788000,10845000,104000,0.910645588,0.089354412,0.089354412,0.910645588,3575000
1936-06-01,12767,,12767,90609,222344,105150,117194,749215,129961,8788000,10950000,105000,0.901762837,0.098237163,0.098237163,0.901762837,3605500
1937-06-01,16193,,16193,106802,218769,111570,107199,856414,123392,8788000,11045000,95000,0.868767829,0.131232171,0.131232171,0.868767829,3637000
1938-06-01,17858,,17858,124660,224027,109768,114259,970673,132117,8788000,11152000,107000,0.864831929,0.135168071,0.135168071,0.864831929,3672000
1939-06-01,13540,,13540,138200,231096,109742,121354,1092027,134894,8788000,11267000,115000,0.899624891,0.100375109,0.100375109,0.899624891,3708000
1940-06-01,11279,,11279,149479,231295,106440,124855,1216882,136134,8788000,11381000,114000,0.91714781,0.08285219,0.08285219,0.91714781,3747000
1941-06-01,8845,,8845,158324,253438,114999,138439,1355321,147284,8788000,11506700,125700,0.939945955,0.060054045,0.060054045,0.939945955,3787700
1942-06-01,7521,,7521,165845,260962,114751,146211,1501532,153732,8788000,11654000,147300,0.951077199,0.048922801,0.048922801,0.951077199,3884000
1943-06-01,9127,,9127,174972,279873,121367,158506,1660038,167633,8788000,11795000,141000,0.94555368,0.05444632,0.05444632,0.94555368,3915000
1944-06-01,20438,,20438,195410,284471,127850,156621,1816659,177059,8788000,11946000,151000,0.88456955,0.11543045,0.11543045,0.88456955,3963000
1945-06-01,38341,,38341,233751,285177,133451,151726,1968385,190067,8788000,12072000,126000,0.798276397,0.201723603,0.201723603,0.798276397,4000000
1946-03-01,12738,,12738,246489,73273,31629,41644,2010029,54382,8788000,12188000,116000,0.765768085,0.234231915,0.234231915,0.765768085,4093000
1946-06-01,21176,,21176,267665,86530,28938,57592,2067621,78768,8788000,12241000,53000,0.731159862,0.268840138,0.268840138,0.731159862,4093000
1946-09-01,25078,,25078,292743,88465,26021,62444,2130065,87522,8788000,12316000,75000,0.713466328,0.286533672,0.286533672,0.713466328,4093000
