time,imigration,emigration,netMigration,totalMigration,Births,Deaths,natGrowth,totalNatGrowth,totGrowth(migrationplusnatural),baseline,Canada,growthDif,Ontario
1867-06-01,,,,,,,,,,3463000,3463000,,1525000
1868-06-01,,,,,,,,,,3511000,3511000,48000,1545000
1869-06-01,,,,,,,,,,3565000,3565000,54000,1569000
1870-06-01,,,,,,,,,,3625000,3625000,60000,1594000
1871-06-01,,,,,,,,,,3689000,3689000,64000,1621000
1872-06-01,,,,,,,,,,3754000,3754000,65000,1651000
1873-06-01,,,,,,,,,,3826000,3826000,72000,1685000
1874-06-01,,,,,,,,,,3895000,3895000,69000,1718000
1875-06-01,,,,,,,,,,3954000,3954000,59000,1746000
1876-06-01,,,,,,,,,,4009000,4009000,55000,1774000
1877-06-01,,,,,,,,,,4064000,4064000,55000,1802000
1878-06-01,,,,,,,,,,4120000,4120000,56000,1829000
1879-06-01,,,,,,,,,,4185000,4185000,65000,1861000
1880-06-01,,,,,,,,,,4255000,4255000,70000,1894000
1881-06-01,,,,,,,,,,4325000,4325000,70000,1927000
1882-06-01,,,,,,,,,,4375000,4375000,50000,1946000
1883-06-01,,,,,,,,,,4430000,4430000,55000,1968000
1884-06-01,,,,,,,,,,4487000,4487000,57000,1988000
1885-06-01,,,,,,,,,,4537000,4537000,50000,2005000
1886-06-01,,,,,,,,,,4580000,4580000,43000,2020000
1887-06-01,,,,,,,,,,4626000,4626000,46000,2037000
1888-06-01,,,,,,,,,,4678000,4678000,52000,2057000
1889-06-01,,,,,,,,,,4729000,4729000,51000,2075000
1890-06-01,,,,,,,,,,4779000,4779000,50000,2093000
1891-06-01,,,,,,,,,,4833000,4833000,54000,2114000
1892-06-01,,,,,,,,,,4883000,4883000,50000,2119000
1893-06-01,,,,,,,,,,4931000,4931000,48000,2122000
1894-06-01,,,,,,,,,,4979000,4979000,48000,2128000
1895-06-01,,,,,,,,,,5026000,5026000,47000,2133000
1896-06-01,,,,,,,,,,5074000,5074000,48000,2137000
1897-06-01,,,,,,,,,,5122000,5122000,48000,2142000
1898-06-01,,,,,,,,,,5175000,5175000,53000,2149000
1899-06-01,,,,,,,,,,5235000,5235000,60000,2159000
1900-06-01,,,,,,,,,,5301000,5301000,66000,2172000
1901-06-01,,,,,,,,,,5371000,5371000,70000,2183000
1902-06-01,,,,,,,,,,5494000,5494000,123000,2194000
1903-06-01,,,,,,,,,,5651000,5651000,157000,2217000
1904-06-01,,,,,,,,,,5827000,5827000,176000,2246000
1905-06-01,,,,,,,,,,6002000,6002000,175000,2289000
1906-06-01,,,,,,,,,,6097000,6097000,95000,2299000
1907-06-01,,,,,,,,,,6411000,6411000,314000,2365000
1908-06-01,,,,,,,,,,6625000,6625000,214000,2412000
1909-06-01,,,,,,,,,,6800000,6800000,175000,2444000
1910-06-01,,,,,,,,,,6988000,6988000,188000,2482000
1911-06-01,,,,,,,,,,7207000,7207000,219000,2527000
1912-06-01,,,,,,,,,,7389000,7389000,182000,2572000
1913-06-01,,,,,,,,,,7632000,7632000,243000,2639000
1914-06-01,,,,,,,,,,7879000,7879000,247000,2705000
1915-06-01,,,,,,,,,,7981000,7981000,102000,2724000
1916-06-01,,,,,,,,,,8001000,8001000,20000,2713000
1917-06-01,,,,,,,,,,8060000,8060000,59000,2724000
1918-06-01,,,,,,,,,,8148000,8148000,88000,2744000
1919-06-01,,,,,,,,,,8311000,8311000,163000,2789000
1920-06-01,,,,,,,,,,8556000,8556000,245000,2863000
1921-06-01,,,,,,,,,,8788000,8788000,232000,2934000
1922-06-01,,,,,256875,102761,154114,154114,154114,8788000,8919000,131000,2980000
1923-06-01,,,,,247285,106008,141277,295391,141277,8788000,9010000,91000,3013000
1924-06-01,,,,,242120,99507,142613,438004,142613,8788000,9143000,133000,3059000
1925-06-01,,,,,243740,98227,145513,583517,145513,8788000,9294000,151000,3111000
1926-06-01,,,,,240303,105695,134608,718125,134608,8788000,9451000,157000,3164300
1927-06-01,,,,,231119,104760,126359,844484,126359,8788000,9637000,186000,3219000
1928-06-01,,,,,236501,105534,130967,975451,130967,8788000,9835000,198000,3278000
1929-06-01,,,,,235400,116403,118997,1094448,118997,8788000,10029000,194000,3334000
1930-06-01,,,,,240473,108150,132323,1226771,132323,8788000,10208000,179000,3386000
1931-06-01,23340,,23340,23340,241429,107895,133534,1360305,156874,8788000,10376700,168700,3431700
1932-06-01,17906,,17906,41246,238788,104890,133898,1494203,151804,8788000,10510000,133300,3473000
1933-06-01,13513,,13513,54759,232674,103629,129045,1623248,142558,8788000,10633000,123000,3512000
1934-06-01,11609,,11609,66368,219536,100928,118608,1741856,130217,8788000,10741000,108000,3544000
1935-06-01,11474,,11474,77842,222072,105136,116936,1858792,128410,8788000,10845000,104000,3575000
1936-06-01,12767,,12767,90609,222344,105150,117194,1975986,129961,8788000,10950000,105000,3605500
1937-06-01,16193,,16193,106802,218769,111570,107199,2083185,123392,8788000,11045000,95000,3637000
1938-06-01,17858,,17858,124660,224027,109768,114259,2197444,132117,8788000,11152000,107000,3672000
1939-06-01,13540,,13540,138200,231096,109742,121354,2318798,134894,8788000,11267000,115000,3708000
1940-06-01,11279,,11279,149479,231295,106440,124855,2443653,136134,8788000,11381000,114000,3747000
1941-06-01,8845,,8845,158324,253438,114999,138439,2582092,147284,8788000,11506700,125700,3787700
1942-06-01,7521,,7521,165845,260962,114751,146211,2728303,153732,8788000,11654000,147300,3884000
1943-06-01,9127,,9127,174972,279873,121367,158506,2886809,167633,8788000,11795000,141000,3915000
1944-06-01,20438,,20438,195410,284471,127850,156621,3043430,177059,8788000,11946000,151000,3963000
1945-06-01,38341,,38341,233751,285177,133451,151726,3195156,190067,8788000,12072000,126000,4000000
1946-03-01,12738,,12738,246489,73273,31629,41644,3236800,54382,8788000,12188000,116000,4093000
